#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:90 out:90 type:B dur:2 cpbdur:2 q:18.24 aq:12.79 tex:52356 mv:6818 misc:1098 imb:6 pmb:966 smb:2628 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:18.24 aq:13.89 tex:22623 mv:4464 misc:1441 imb:5 pmb:740 smb:2855 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:18.24 aq:14.57 tex:10584 mv:3424 misc:1544 imb:1 pmb:520 smb:3079 d:- ref:0 ;
in:95 out:93 type:P dur:2 cpbdur:2 q:16.73 aq:13.02 tex:77568 mv:5333 misc:907 imb:52 pmb:997 smb:2551 d:s ref:0 ;
in:93 out:94 type:B dur:2 cpbdur:2 q:18.24 aq:14.10 tex:16198 mv:4128 misc:1642 imb:3 pmb:553 smb:3044 d:t ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:18.24 aq:14.34 tex:34375 mv:5056 misc:1273 imb:4 pmb:882 smb:2714 d:- ref:0 ;
in:96 out:96 type:I dur:2 cpbdur:2 q:13.94 aq:2.16 tex:864031 mv:57652 misc:469 imb:3600 pmb:0 smb:0 d:s ref:;
in:100 out:97 type:P dur:2 cpbdur:2 q:17.70 aq:8.15 tex:244296 mv:6389 misc:587 imb:50 pmb:1129 smb:2421 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:17.70 aq:12.38 tex:63414 mv:6614 misc:980 imb:4 pmb:994 smb:2602 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:17.70 aq:13.73 tex:14753 mv:3724 misc:1539 imb:0 pmb:548 smb:3052 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:17.70 aq:14.31 tex:16606 mv:4132 misc:1478 imb:1 pmb:594 smb:3005 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:17.66 aq:9.23 tex:276068 mv:6454 misc:590 imb:56 pmb:1113 smb:2431 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:17.70 aq:12.50 tex:73562 mv:7163 misc:875 imb:5 pmb:1039 smb:2556 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:17.70 aq:13.59 tex:18195 mv:4277 misc:1448 imb:0 pmb:635 smb:2965 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:17.70 aq:14.05 tex:17255 mv:4030 misc:1555 imb:2 pmb:608 smb:2990 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:17.77 aq:9.10 tex:280672 mv:6338 misc:614 imb:66 pmb:1110 smb:2424 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:17.83 aq:12.28 tex:70302 mv:7240 misc:914 imb:1 pmb:1033 smb:2566 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:17.83 aq:14.58 tex:16512 mv:4127 misc:1489 imb:1 pmb:632 smb:2967 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:17.82 aq:14.24 tex:18178 mv:3997 misc:1505 imb:4 pmb:630 smb:2966 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:17.90 aq:9.10 tex:272081 mv:6485 misc:578 imb:64 pmb:1106 smb:2430 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:17.90 aq:12.60 tex:72198 mv:7048 misc:906 imb:5 pmb:1029 smb:2566 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:17.90 aq:14.78 tex:16833 mv:4346 misc:1533 imb:2 pmb:648 smb:2950 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:17.90 aq:13.85 tex:17611 mv:4219 misc:1482 imb:1 pmb:629 smb:2970 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:17.86 aq:8.99 tex:278806 mv:6340 misc:614 imb:60 pmb:1110 smb:2430 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:17.90 aq:12.65 tex:70447 mv:7206 misc:883 imb:5 pmb:1037 smb:2558 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:17.90 aq:14.74 tex:16808 mv:4410 misc:1470 imb:3 pmb:645 smb:2952 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:17.90 aq:14.46 tex:16842 mv:4051 misc:1531 imb:0 pmb:622 smb:2978 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:17.89 aq:8.42 tex:307980 mv:6618 misc:554 imb:89 pmb:1102 smb:2409 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:17.89 aq:12.31 tex:76613 mv:7217 misc:866 imb:9 pmb:1031 smb:2560 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:17.89 aq:14.15 tex:16225 mv:4305 misc:1534 imb:3 pmb:621 smb:2976 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:17.89 aq:14.80 tex:16592 mv:3985 misc:1615 imb:3 pmb:630 smb:2967 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:17.94 aq:8.84 tex:268427 mv:6065 misc:580 imb:51 pmb:1136 smb:2413 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:17.94 aq:12.32 tex:66327 mv:6654 misc:915 imb:5 pmb:1017 smb:2578 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:17.94 aq:15.12 tex:14332 mv:4173 misc:1575 imb:1 pmb:614 smb:2985 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:17.94 aq:14.26 tex:14968 mv:4037 misc:1563 imb:1 pmb:595 smb:3004 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:17.91 aq:9.03 tex:272072 mv:6322 misc:590 imb:47 pmb:1132 smb:2421 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:17.95 aq:12.86 tex:69517 mv:6680 misc:1035 imb:7 pmb:988 smb:2605 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:17.95 aq:14.61 tex:15903 mv:4164 misc:1405 imb:1 pmb:624 smb:2975 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:17.95 aq:14.43 tex:17706 mv:4389 misc:1393 imb:1 pmb:652 smb:2947 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:17.61 aq:8.35 tex:297986 mv:6401 misc:589 imb:55 pmb:1126 smb:2419 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:17.92 aq:12.56 tex:70801 mv:6957 misc:874 imb:3 pmb:1021 smb:2576 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:17.92 aq:14.64 tex:16065 mv:4350 misc:1521 imb:0 pmb:641 smb:2959 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:17.92 aq:14.60 tex:16472 mv:4081 misc:1551 imb:2 pmb:608 smb:2990 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:17.63 aq:8.56 tex:289507 mv:6073 misc:612 imb:48 pmb:1127 smb:2425 d:s ref:0 ;
